tx_no,web_slp_addr,web_tx_link,web_bch,web_bch_addr,chain_out_bch_addr,chain_in_bch_addr,chain_actually_pay,chain_actually_get,chain_gas,chain_tx_ago,chain_tx_datetime,verified_nft_amount,finish_num,failed
d0ed8a87c7e3c41389f5bb69e216ebc934e36fc827914f07f1fca83c290bfde9,simpleledger:qpvfnjhqndmd9j79tpzztxv86dd9nzymfylk5vwcan,https://explorer.bitcoin.com/bch/tx/d0ed8a87c7e3c41389f5bb69e216ebc934e36fc827914f07f1fca83c290bfde9,0.000002,bitcoincash:qr5rrjyhcfe66546grdt45tnvtwdmhtzc5cvarts9s,bitcoincash:qr5rrjyhcfe66546grdt45tnvtwdmhtzc5cvarts9s,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,1e-05,7.8e-06,2.2e-06,24,2021-09-06T16:13:46,10,0,time failed;
84fc674ea4e30d40efe0df0b1c88737580f9a88a47e1761d4b342d81481d587a,simpleledger:qpvfnjhqndmd9j79tpzztxv86dd9nzymfylk5vwcan,https://explorer.bitcoin.com/bch/tx/84fc674ea4e30d40efe0df0b1c88737580f9a88a47e1761d4b342d81481d587a,0.000001,bitcoincash:qzne3cazu0kcmxsy3rkr8lz48pjexvuhpvvlnpkjzj,bitcoincash:qzne3cazu0kcmxsy3rkr8lz48pjexvuhpvvlnpkjzj,bitcoincash:qzhppf89yx7d3fsaswceptz88xgf6p2j6v7ylllmxx,1e-05,7.8e-06,2.2e-06,157,2021-09-06T16:20:27,10,0,time failed;
